LOC,CC,PC,Is_Long_Method
498,32,4,TRUE
227,19,1,TRUE
139,6,1,TRUE
155,8,1,TRUE
363,20,1,TRUE
121,3,1,TRUE
107,4,1,TRUE
159,5,1,TRUE
205,13,1,TRUE
147,13,1,TRUE
323,11,1,TRUE
241,13,1,TRUE
169,8,1,TRUE
277,24,1,TRUE
256,14,1,TRUE
162,10,1,TRUE
192,20,4,TRUE
106,5,1,TRUE
127,5,1,TRUE
413,11,1,TRUE
346,21,1,TRUE
107,3,1,TRUE
278,17,1,TRUE
243,18,1,TRUE
145,13,4,TRUE
269,8,0,TRUE
115,28,0,TRUE
263,24,1,TRUE
148,13,1,TRUE
131,13,1,TRUE
137,25,0,TRUE
103,16,1,TRUE
103,12,4,TRUE
116,17,0,TRUE
169,17,1,TRUE
193,19,1,TRUE
182,10,1,TRUE
195,26,16,TRUE
135,28,0,TRUE
179,36,0,TRUE
187,26,1,TRUE
123,14,1,TRUE
107,32,3,TRUE
196,25,1,TRUE
312,47,1,TRUE
109,26,1,TRUE
129,14,2,TRUE
127,19,1,TRUE
139,28,1,TRUE
183,40,7,TRUE
130,25,1,TRUE
179,36,1,TRUE
168,34,0,TRUE
102,18,1,TRUE
191,21,2,TRUE
106,13,0,TRUE
104,25,4,TRUE
137,5,2,TRUE
354,40,1,TRUE
172,29,0,TRUE
158,34,2,TRUE
168,16,1,TRUE
142,21,1,TRUE
111,19,2,TRUE
151,29,1,TRUE
219,63,0,TRUE
109,10,2,TRUE
122,23,17,TRUE
201,40,2,TRUE
103,26,4,TRUE
132,25,5,TRUE
471,31,0,TRUE
299,1,0,TRUE
254,21,1,TRUE
131,5,1,TRUE
110,14,0,TRUE
147,13,0,TRUE
164,30,0,TRUE
118,32,3,TRUE
139,17,2,TRUE
153,19,7,TRUE
111,8,3,TRUE
125,26,3,TRUE
126,29,7,TRUE
150,31,5,TRUE
153,24,0,TRUE
152,36,7,TRUE
103,25,1,TRUE
120,21,2,TRUE
154,43,4,TRUE
120,29,0,TRUE
328,111,2,TRUE
443,130,0,TRUE
285,102,1,TRUE
121,26,3,TRUE
239,68,8,TRUE
145,20,0,TRUE
121,21,2,TRUE
103,24,2,TRUE
110,27,7,TRUE
105,24,2,TRUE
211,30,6,TRUE
128,7,7,TRUE
150,34,0,TRUE
159,38,2,TRUE
155,35,4,TRUE
134,28,2,TRUE
166,38,1,TRUE
215,40,7,TRUE
155,32,1,TRUE
168,38,1,TRUE
217,40,7,TRUE
116,26,1,TRUE
134,21,5,TRUE
384,93,3,TRUE
564,111,2,TRUE
769,167,4,TRUE
158,26,1,TRUE
285,29,4,TRUE
120,8,6,TRUE
125,8,6,TRUE
205,34,2,TRUE
494,87,2,TRUE
115,22,1,TRUE
115,19,1,TRUE
120,29,7,TRUE
231,39,3,TRUE
102,25,4,TRUE
192,31,4,TRUE
107,25,0,TRUE
130,33,0,TRUE
114,28,1,TRUE
141,19,3,TRUE
114,29,1,TRUE
128,24,3,TRUE
