NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,Is_Feature_Envy
3,0,17,17,89,22,0,1,0.470588,6,8,TRUE
4,0,5,4,36,6,0,1,0,1,2,TRUE
3,0,16,13,130,20,0,0,0.125,0,11,TRUE
7,0,12,3,182,42,0,0,0,0,15,TRUE
1,0,10,6,148,10,0,0,0,0,5,TRUE
22,4,31,7,741,227,0,1,0.064516,1,3,TRUE
15,8,18,15,191,31,0,0,0.166667,50,9,TRUE
1,0,2,2,27,4,0,0,0,0,7,TRUE
28,0,112,107,1358,325,0,0,0,130,87,TRUE
4,0,59,40,598,143,0,0,0.084746,3,45,TRUE
6,2,11,9,111,16,0,1,0,0,16,TRUE
11,0,9,4,120,18,0,1,0.222222,1,10,TRUE
2,0,6,5,65,16,0,0,0,0,5,TRUE
8,0,12,9,138,19,1,0,0,2,7,TRUE
9,0,15,11,165,23,0,0,0,0,12,TRUE
6,0,8,5,72,9,0,0,0,2,3,TRUE
8,0,29,24,251,62,0,0,0,0,25,TRUE
7,0,17,16,143,28,0,0,0,2,8,TRUE
3,0,8,6,67,11,0,0,0,0,5,TRUE
12,0,27,18,499,113,0,0,0.185185,0,20,TRUE
6,0,8,6,89,15,0,0,0,1,8,TRUE
6,0,8,6,77,13,0,0,0,1,6,TRUE
4,0,15,14,163,25,0,0,0,3,8,TRUE
4,0,6,4,43,7,0,0,0,2,6,TRUE
8,4,13,10,94,16,0,0,0,7,8,TRUE
5,0,9,6,86,15,0,0,0,1,8,TRUE
4,0,8,6,52,10,0,0,0,2,11,TRUE
11,0,18,10,206,30,0,0,0,1,13,TRUE
19,0,38,12,424,87,0,0,0,1,15,TRUE
26,0,22,20,169,33,0,0,0.318182,3,24,TRUE
3,0,15,11,129,24,0,1,0.266667,1,22,TRUE
2,0,8,3,97,22,0,0,0,1,12,TRUE
3,0,18,14,235,39,0,1,0.166667,1,25,TRUE
24,0,34,16,417,82,0,1,0.147059,1,23,TRUE
6,0,8,5,97,18,0,0,0,1,19,TRUE
10,0,17,7,186,32,0,0,0.176471,1,17,TRUE
5,0,10,4,107,19,0,1,0,1,7,TRUE
3,0,8,6,67,14,0,0,0,1,9,TRUE
1,0,4,3,50,8,0,1,0.75,1,7,TRUE
4,0,12,9,82,22,0,0,0,1,9,TRUE
2,0,10,8,112,17,0,0,0,1,22,TRUE
12,0,12,4,179,31,0,0,0,1,17,TRUE
5,1,10,8,152,36,0,0,0.4,12,3,TRUE
7,1,12,10,88,22,1,1,0.416667,2,4,TRUE
1,0,9,7,57,9,0,0,0.222222,0,2,TRUE
1,0,16,14,121,16,0,0,0,0,1,TRUE
1,0,9,7,86,17,0,1,0,1,5,TRUE
3,0,9,3,140,17,0,0,0,0,3,TRUE
5,0,13,9,159,18,0,0,0.230769,3,5,TRUE
13,0,73,47,893,164,1,0,0.082192,3,5,TRUE
1,0,6,5,32,6,0,2,0.333333,1,1,TRUE
31,0,91,46,1047,159,0,1,0.065934,23,12,TRUE
